,parking,blind,lane,parkX,parkZ,stageX,stageZ,spd,gas,range,err] 83.1,40,82.9,14.6,0,0,9,51.2,80,-999,-999,10.9,0.66,18,-0.91
87.3,52.2,74.7,4.9,1,0,1,54.1,76.2,-999,-999,5,0.41,3,-1.32
87.4,52.4,74.6,5,1,0,1.05,54.1,76.2,-999,-999,4.8,0.41,3,-1.39
87.4,52.5,74.4,5.1,1,0,1.08,54.1,76.2,-999,-999,4.8,0.41,3,-1.45
87.5,52.7,74.2,5.2,1,0,1.08,54.1,76.2,-999,-999,4.9,0.41,3,-1.51
87.5,52.9,74.1,5.3,1,0,1.08,54.1,76.2,-999,-999,5,0.41,3,-1.58
87.6,53.1,73.9,5.4,1,0,1.08,54.1,76.2,-999,-999,5.1,0.41,3,-1.64
87.6,53.3,73.8,5.5,1,0,1.08,54.1,76.2,-999,-999,5.1,0.41,3,-1.69
87.7,53.6,73.7,5.6,1,0,1.08,54.1,76.2,-999,-999,5.2,0.41,3,-1.75
87.7,53.8,73.5,5.7,1,0,1.08,54.1,76.2,-999,-999,5.3,0.41,3,-1.8
87.8,54,73.4,5.8,1,0,1.08,54.1,76.2,-999,-999,5.3,0.41,6,-1.84
87.8,54.3,73.3,5.9,1,0,1.08,54.1,76.2,-999,-999,5.4,0.41,6,-1.88
87.9,54.5,73.2,6.1,1,0,1.08,54.1,76.2,-999,-999,5.4,0.41,3,-1.92
87.9,54.8,73.1,6.2,1,0,1.08,54.1,76.2,-999,-999,5.5,0.41,3,-1.95
88,55,73,6.3,1,0,1.08,54.1,76.2,-999,-999,5.5,0.41,3,-1.98
88,55.3,72.9,6.4,1,0,1.08,54.1,76.2,-999,-999,5.6,0.41,3,-2
88.1,55.6,72.9,6.5,1,0,1.08,54.1,76.2,-999,-999,5.6,0.41,3,-2.02
88.1,55.8,72.8,6.6,1,0,1.08,54.1,76.2,-999,-999,5.3,0.41,4.5,-2.03
88.2,56.1,72.8,6.8,1,0,1.08,54.1,76.2,-999,-999,5.3,0.41,4.5,-2.05
88.2,56.3,72.7,6.9,1,0,1.08,54.1,76.2,-999,-999,5.4,0.41,4.5,-2.06
88.3,56.6,72.7,7,1,0,1.08,54.1,76.2,-999,-999,5.4,0.41,4.5,-2.06
88.3,56.9,72.7,7.1,1,0,1.08,54.1,76.2,-999,-999,5.5,0.41,4.5,-2.07
88.4,57.2,72.7,7.2,1,0,1.08,54.1,76.2,-999,-999,5.5,0.41,4.5,-2.07
88.4,57.4,72.7,7.3,1,0,1.07,54.1,76.2,-999,-999,5.5,0.41,4.5,-2.07
88.5,57.7,72.7,7.4,1,0,1.05,54.1,76.2,-999,-999,5.6,0.41,4.5,-2.07
88.5,58,72.8,7.5,1,0,1.03,54.1,76.2,-999,-999,5.6,0.41,4.5,-2.07
88.6,58.3,72.8,7.6,1,0,1.01,54.1,76.2,-999,-999,5.7,0.41,6,-2.07
88.6,58.5,72.9,7.7,1,0,0.98,54.1,76.2,-999,-999,5.7,0.51,6,-2.06
88.7,58.8,73,7.8,1,0,0.95,54.1,76.2,-999,-999,5.8,0.51,6,-2.06
88.7,59.1,73.1,7.9,1,0,0.92,54.1,76.2,-999,-999,5.9,0.51,6,-2.05
88.8,59.4,73.2,8,1,0,0.88,54.1,76.2,-999,-999,6,0.51,6,-2.05
88.8,59.7,73.3,8.1,1,0,0.83,54.1,76.2,-999,-999,6,0.51,6,-2.04
88.9,59.9,73.4,8.2,1,0,0.79,54.1,76.2,-999,-999,6.1,0.51,6,-2.03
88.9,60.2,73.6,8.3,1,0,0.74,54.1,76.2,-999,-999,6.1,0.51,6,-2.02
89,60.5,73.7,8.4,1,0,0.69,54.1,76.2,-999,-999,6.2,0.51,7.5,-2.01
89,60.7,73.9,8.5,1,0,0.64,54.1,76.2,-999,-999,6.3,0.51,7.5,-2
89.1,61,74.1,8.6,1,0,0.58,54.1,76.2,-999,-999,6.3,0.51,7.5,-1.99
89.1,61.2,74.3,8.7,1,0,0.52,54.1,76.2,-999,-999,6.4,0.51,7.5,-1.97
89.2,61.5,74.5,8.7,1,0,0.46,54.1,76.2,-999,-999,6.4,0.51,7.5,-1.96
89.2,61.7,74.7,8.8,0,0,0.4,54.1,76.2,-999,-999,6.5,0.51,12,-2.37
89.3,61.9,75,8.9,0,0,0.33,54.1,76.2,-999,-999,6.6,0.66,12,-2.35
89.3,62.1,75.2,9,0,0,0.27,54.1,76.2,-999,-999,6.7,0.66,13.5,-2.34
89.4,62.3,75.5,9,0,0,0.19,54.1,76.2,-999,-999,6.8,0.66,18,-2.32
89.4,62.5,75.8,9.1,0,0,0.12,54.1,76.2,-999,-999,7,1,18,-2.31
89.5,62.7,76.1,9.1,0,0,0.04,54.1,76.2,-999,-999,7.2,1,16.5,-2.29
89.5,62.9,76.4,9.2,0,0,-0.04,54.1,76.2,-999,-999,7.3,0.66,16.5,-2.27
89.6,63,76.7,9.3,0,0,-0.12,54.1,76.2,-999,-999,7.4,0.66,16.5,-2.26
89.6,63.2,77.1,9.3,0,0,-0.21,54.1,76.2,-999,-999,7.4,0.66,16.5,-2.24
89.7,63.3,77.4,9.4,1,1,9,54.1,79.2,57.1,74.1,7.4,0.51,16.5,-2.16
89.7,63.4,77.8,9.4,1,1,9,54.1,79.2,57.1,74.1,7.4,0.51,16.5,-2.14
89.8,63.5,78.1,9.4,1,1,9,54.1,79.2,57.1,74.1,7.4,0.51,16.5,-2.13
89.8,63.6,78.5,9.5,1,1,9,54.1,79.2,57.1,74.1,7.4,0.51,16.5,-2.11
89.9,63.6,78.9,9.5,1,1,9,54.1,79.2,57.1,74.1,7.4,0.51,16.5,-2.09
89.9,63.6,79.2,9.5,1,1,9,54.1,79.2,57.1,74.1,7.5,0.66,12,-2.49
90,63.6,79.6,9.6,1,1,9,54.1,79.2,57.1,74.1,7.5,0.66,12,-2.47
90,63.6,80,9.6,1,1,9,54.1,79.2,57.1,74.1,7.6,0.66,18,2.51
90.1,63.8,80.2,9.8,1,1,9,54.1,79.2,57.1,74.1,5.7,0.66,18,2.53
90.1,63.9,80.5,9.9,1,1,9,54.1,79.2,57.1,74.1,5.2,0.66,18,2.56
90.2,64,80.7,10,1,1,9,54.1,79.2,57.1,74.1,4.8,0.66,18,2.58
90.2,64.1,80.9,10.1,1,1,9,54.1,79.2,57.1,74.1,4.7,0.66,18,2.6
90.3,64.1,81.2,10.2,1,1,9,54.1,79.2,57.1,74.1,4.6,0.66,18,2.62
